epoch,train_flow_matching_loss,val_flow_matching_loss,lr
1,4.614673277854919,2.796839766204357,0.0001999229036240723
2,2.1292174186706543,1.7549043744802475,0.0001996917333733128
3,1.5860764603614808,1.4864044338464737,0.00019930684569549264
4,1.4397125158309936,1.3764419220387936,0.00019876883405951377
5,1.3346434388160706,1.2806480713188648,0.00019807852804032305
6,1.1782943873405456,1.1036518570035696,0.00019723699203976766
7,1.0429868986606599,0.986506313085556,0.00019624552364536473
8,0.9256462721824646,0.8842441234737635,0.00019510565162951537
9,0.8429791333675385,0.8282072767615318,0.00019381913359224842
10,0.7891142919063568,0.7712590955197811,0.00019238795325112867
11,0.7374711723327637,0.7391795758157969,0.0001908143173825081
12,0.7065985645055771,0.6838437169790268,0.00018910065241883677
13,0.6975658074617386,0.688754053786397,0.00018724960070727972
14,0.660823602437973,0.6757146026939154,0.00018526401643540922
15,0.6547619440555572,0.6317133698612452,0.00018314696123025454
16,0.6515608644485473,0.6632711216807365,0.00018090169943749476
17,0.6372837697267533,0.6275428747758269,0.00017853169308807448
18,0.612144904255867,0.6064311629161239,0.0001760405965600031
19,0.603265860915184,0.6077733971178532,0.00017343225094356858
20,0.5958933138847351,0.5850793989375234,0.00017071067811865476
21,0.5842267473936081,0.6001647878438234,0.0001678800745532942
22,0.5994569783210755,0.5839631920680404,0.00016494480483301838
23,0.5819848968982696,0.6470822459086776,0.00016190939493098338
24,0.5717608091831208,0.5997222820296884,0.0001587785252292473
25,0.5810131274461746,0.5922534046694636,0.0001555570233019602
26,0.5723356765508651,0.5748042846098542,0.00015224985647159487
27,0.5636826734542847,0.580865285359323,0.0001488621241496955
28,0.5573747371435165,0.5551105979830027,0.00014539904997395466
29,0.540669361948967,0.5505588669329882,0.00014186597375374278
30,0.5610410255193711,0.5396289136260748,0.00013826834323650894
31,0.5487474139928817,0.5492837093770504,0.00013461170570774927
32,0.5412686680555343,0.5133384708315134,0.0001309016994374947
33,0.5344104286432266,0.5542826531454921,0.0001271440449865074
34,0.5206903326511383,0.5619281316176057,0.00012334453638559052
35,0.5378854230642319,0.5529044605791569,0.0001195090322016128
36,0.5345020794868469,0.5416815066710114,0.00011564344650402306
37,0.5366421664953231,0.5456026373431087,0.00011175373974578374
38,0.5227873690128326,0.5540777714923024,0.00010784590957278446
39,0.5077514284849167,0.5548807764425874,0.00010392598157590682
40,0.524083168387413,0.5550514431670308,9.999999999999996e-05
41,0.5077384567260742,0.5183679684996605,9.607401842409313e-05
42,0.5055585448741913,0.5265199113637209,9.215409042721549e-05
43,0.5090902979373932,0.5354962423443794,8.824626025421623e-05
44,0.5147598694562912,0.506424818187952,8.435655349597692e-05
45,0.49952580624818804,0.5157205443829298,8.049096779838716e-05
46,0.5025727441310882,0.5148668503388762,7.665546361440945e-05
47,0.5009646190404892,0.5247877659276128,7.285595501349254e-05
48,0.4968296558856964,0.5408494593575597,6.909830056250526e-05
49,0.5013357053399086,0.5025704642757773,6.538829429225072e-05
50,0.5037654578685761,0.5542738875374198,6.173165676349103e-05
51,0.4944554741382599,0.5299662360921502,5.8134026246257225e-05
52,0.4826113842725754,0.5104132564738393,5.460095002604533e-05
53,0.48205997854471205,0.4796009473502636,5.11378758503045e-05
54,0.47703087991476056,0.524517877958715,4.7750143528405126e-05
55,0.4816867139339447,0.4857794726267457,4.444297669803978e-05
56,0.4808352484703064,0.45288047613576055,4.1221474770752705e-05
57,0.4789170994758606,0.4910639962181449,3.8090605069016635e-05
58,0.4843375194072723,0.47422609478235245,3.505519516698165e-05
59,0.4780639593601227,0.4654962597414851,3.211992544670586e-05
60,0.4751268748044968,0.5075873141176999,2.928932188134526e-05
61,0.4682210741043091,0.45097003784030676,2.656774905643145e-05
62,0.4884068150520325,0.48232570849359035,2.395940343999691e-05
63,0.46367022818326953,0.4967346703633666,2.146830691192551e-05
64,0.48266518747806547,0.4480448951944709,1.909830056250527e-05
65,0.46936494171619414,0.5008871546015143,1.68530387697455e-05
66,0.47318393385410307,0.4802058134227991,1.4735983564590783e-05
67,0.46990327519178393,0.4708059672266245,1.2750399292720305e-05
68,0.4631134488582611,0.49305597599595785,1.0899347581163221e-05
69,0.47094665908813477,0.5252939807251096,9.185682617491865e-06
70,0.48178784555196763,0.47348794899880886,7.612046748871327e-06
71,0.46850142925977706,0.4771814960986376,6.180866407751584e-06
72,0.46574617457389833,0.4556595887988806,4.894348370484647e-06
73,0.4517852274775505,0.4527929346077144,3.7544763546352834e-06
74,0.46373307728767393,0.527690407820046,2.7630079602323442e-06
75,0.4775852945446968,0.4736165711656213,1.921471959676957e-06
76,0.45683895206451414,0.49941251892596483,1.231165940486234e-06
77,0.4672483559846878,0.4794372757896781,6.931543045073708e-07
78,0.46808181357383727,0.44710335694253445,3.0826662668720364e-07
79,0.4487716506719589,0.4365375954657793,7.709637592770991e-08
80,0.4818623318076134,0.4936662772670388,0.0
